year,l1,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,occupation_x,occupation_y,l4,l3,l2,l0
2013,Office and administrative support occupations,13664,23437,3699,9312,9965,17973,First-line supervisors of office and administrative support workers,First-line supervisors of office and administrative support workers,Total,Sales and office occupations,Office and administrative support occupations,First-line supervisors of office and administrative support workers
2013,Personal care and service occupations,2483,6146,654,1895,1829,2819,First-line supervisors of gaming workers,First-line supervisors of gaming workers,Total,Service occupations,Personal care and service occupations,First-line supervisors of gaming workers
2013,Production occupations,7239,16012,5314,13656,1919,5500,First-line supervisors of production and operating workers,First-line supervisors of production and operating workers,Total,"Production, transportation, and material moving occupations",Production occupations,First-line supervisors of production and operating workers
2013,Protective service occupations,2685,8710,2172,7482,513,1980,First-line supervisors of correctional officers,First-line supervisors of correctional officers,Total,Service occupations,Protective service occupations,First-line supervisors of correctional officers
2013,Sales and related occupations,9376,10563,5373,11248,4005,7979,First-line supervisors of retail sales workers,First-line supervisors of retail sales workers,Total,Sales and office occupations,Sales and related occupations,First-line supervisors of retail sales workers
2013,Transportation and material moving occupations,6623,10858,5708,8444,916,2725,Supervisors of transportation and material moving workers,Supervisors of transportation and material moving workers,Total,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers
2014,Architecture and engineering occupations,2530,16283,2151,16796,377,2060,"Architects, except naval","Architects, except naval",Total,"Management, professional, and related occupations",Professional and related occupations,"Architects, except naval"
2014,"Arts, design, entertainment, sports, and media occupations",1574,11151,903,5227,665,2608,Artists and related workers,Artists and related workers,Total,"Management, professional, and related occupations",Professional and related occupations,Artists and related workers
2014,Building and grounds cleaning and maintenance occupations,3569,3328,2332,3487,1236,1315,First-line supervisors of housekeeping and janitorial workers,First-line supervisors of housekeeping and janitorial workers,Total,Service occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
2014,Business and financial operations occupations,5680,24879,2441,17682,3238,15894,"Agents and business managers of artists, performers, and athletes","Agents and business managers of artists, performers, and athletes",Total,"Management, professional, and related occupations","Management, business, and financial operations occupations","Agents and business managers of artists, performers, and athletes"
2014,Community and social service occupations,2005,5139,741,2784,1264,4994,Counselors,Counselors,Total,"Management, professional, and related occupations",Professional and related occupations,Counselors
