occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Fundraisers,80,1124,22,0,58,1084,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Fundraisers
Market research analysts and marketing specialists,190,1139,80,1171,110,967,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Market research analysts and marketing specialists
"Business operations specialists, all other",180,1044,69,1226,110,899,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Business operations specialists, all other"
Accountants and auditors,1516,1109,571,1268,945,1029,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Accountants and auditors
Appraisers and assessors of real estate,60,1142,33,0,27,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Appraisers and assessors of real estate
Budget analysts,58,1389,31,0,26,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Budget analysts
Credit analysts,31,0,12,0,19,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Credit analysts
Financial analysts,89,1466,56,1757,33,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Financial analysts
Personal financial advisors,288,1424,215,1565,72,1149,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Personal financial advisors
Insurance underwriters,98,1045,37,0,61,879,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Insurance underwriters
Financial examiners,10,0,4,0,6,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Financial examiners
Credit counselors and loan officers,360,970,152,1162,208,864,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Credit counselors and loan officers
"Tax examiners and collectors, and revenue agents",62,952,19,0,43,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Tax examiners and collectors, and revenue agents"
Tax preparers,56,767,22,0,34,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Tax preparers
"Financial specialists, all other",87,962,38,0,49,0,2013,Total,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Financial specialists, all other"
Professional and related occupations,24683,1071,11089,1295,13594,944,2013,,,,,
Computer and mathematical occupations,3621,1365,2693,1452,928,1174,2013,,,,,
Computer and information research scientists,15,0,12,0,3,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer and information research scientists
Computer systems analysts,443,1367,285,1455,158,1216,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer systems analysts
Information security analysts,53,1460,43,0,10,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Information security analysts
Computer programmers,437,1372,332,1428,106,1162,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer programmers
"Software developers, applications and systems software",1053,1643,844,1737,209,1370,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Software developers, applications and systems software"
Web developers,137,1060,84,1157,53,937,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Web developers
Computer support specialists,474,980,340,1019,134,901,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer support specialists
Database administrators,95,1345,65,1563,30,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Database administrators
Network and computer systems administrators,210,1237,173,1252,37,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Network and computer systems administrators
Computer network architects,131,1630,122,1593,9,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Computer network architects
"Computer occupations, all other",359,1149,277,1136,81,1176,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Computer occupations, all other"
Actuaries,25,0,17,0,9,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Actuaries
Mathematicians,2,0,2,0,0,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Mathematicians
Operations research analysts,119,1444,56,1569,63,1313,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Operations research analysts
Statisticians,65,1414,42,0,23,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Statisticians
Miscellaneous mathematical science occupations,1,0,0,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,Miscellaneous mathematical science occupations
Architecture and engineering occupations,2540,1365,2209,1403,330,1143,2013,,,,,
"Architects, except naval",118,1292,88,1347,30,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Architects, except naval"
"Surveyors, cartographers, and photogrammetrists",32,0,22,0,9,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Surveyors, cartographers, and photogrammetrists"
Aerospace engineers,137,1865,124,1873,13,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Aerospace engineers
Agricultural engineers,3,0,3,0,0,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Agricultural engineers
Biomedical engineers,10,0,9,0,2,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Biomedical engineers
Chemical engineers,56,1568,48,0,8,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Chemical engineers
Civil engineers,324,1373,288,1417,36,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Civil engineers
Computer hardware engineers,92,1507,82,1544,10,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Computer hardware engineers
Electrical and electronics engineers,268,1522,247,1514,21,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Electrical and electronics engineers
Environmental engineers,28,0,22,0,6,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Environmental engineers
"Industrial engineers, including health and safety",181,1385,151,1417,30,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Industrial engineers, including health and safety"
Marine engineers and naval architects,12,0,12,0,0,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Marine engineers and naval architects
Materials engineers,43,0,36,0,7,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Materials engineers
Mechanical engineers,297,1496,273,1554,24,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Mechanical engineers
"Mining and geological engineers, including mining safety engineers",16,0,13,0,2,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Mining and geological engineers, including mining safety engineers"
Nuclear engineers,4,0,4,0,0,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Nuclear engineers
Petroleum engineers,34,0,33,0,2,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Petroleum engineers
"Engineers, all other",371,1528,322,1561,48,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Engineers, all other"
Drafters,104,974,85,991,20,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Drafters
"Engineering technicians, except drafters",361,1011,302,1027,59,934,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Engineering technicians, except drafters"
Surveying and mapping technicians,48,0,43,0,5,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,Surveying and mapping technicians
"Life, physical, and social science occupations",1063,1152,608,1271,456,1030,2013,,,,,
Agricultural and food scientists,30,0,19,0,12,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Agricultural and food scientists
Biological scientists,107,1157,54,1233,53,1104,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Biological scientists
Conservation scientists and foresters,27,0,23,0,5,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Conservation scientists and foresters
Medical scientists,131,1216,58,1430,73,1142,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Medical scientists
"Life scientists, all other",1,0,1,0,0,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Life scientists, all other"
Astronomers and physicists,13,0,13,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Astronomers and physicists
Atmospheric and space scientists,11,0,9,0,2,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Atmospheric and space scientists
Chemists and materials scientists,109,1182,68,1380,42,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Chemists and materials scientists
Environmental scientists and geoscientists,76,1330,58,1392,18,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Environmental scientists and geoscientists
"Physical scientists, all other",132,1517,88,1597,44,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Physical scientists, all other"
Economists,29,0,15,0,14,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Economists
Survey researchers,1,0,0,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Survey researchers
Psychologists,96,1267,27,0,69,1178,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Psychologists
Sociologists,4,0,2,0,3,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Sociologists
Urban and regional planners,20,0,12,0,7,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Urban and regional planners
Miscellaneous social scientists and related workers,40,0,22,0,18,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Miscellaneous social scientists and related workers
Agricultural and food science technicians,23,0,12,0,12,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Agricultural and food science technicians
Biological technicians,16,0,9,0,8,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Biological technicians
Chemical technicians,62,849,41,0,21,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Chemical technicians
Geological and petroleum technicians,23,0,18,0,5,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Geological and petroleum technicians
Nuclear technicians,1,0,0,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Nuclear technicians
Social science research assistants,2,0,2,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations",Social science research assistants
"Miscellaneous life, physical, and social science technicians",105,761,59,911,47,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations","Miscellaneous life, physical, and social science technicians"
Community and social service occupations,1913,847,755,930,1158,808,2013,,,,,
Counselors,568,885,178,889,391,884,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Counselors
Social workers,636,845,129,978,507,818,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Social workers
Probation officers and correctional treatment specialists,105,888,62,927,43,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Probation officers and correctional treatment specialists
Social and human service assistants,102,668,34,0,68,641,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Social and human service assistants
"Miscellaneous community and social service specialists, including health educators and community health workers",83,756,19,0,64,740,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Miscellaneous community and social service specialists, including health educators and community health workers"
Clergy,343,935,296,968,47,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Clergy
"Directors, religious activities and education",41,0,20,0,21,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Directors, religious activities and education"
"Religious workers, all other",34,0,17,0,17,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Religious workers, all other"
Legal occupations,1305,1253,598,1764,707,1010,2013,,,,,
Lawyers,710,1880,463,1986,247,1566,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Lawyers
Judicial law clerks,9,0,3,0,6,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Judicial law clerks
"Judges, magistrates, and other judicial workers",49,0,30,0,19,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,"Judges, magistrates, and other judicial workers"
Paralegals and legal assistants,337,846,50,923,287,825,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Paralegals and legal assistants
Miscellaneous legal support workers,199,873,51,1013,148,787,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Miscellaneous legal support workers
"Education, training, and library occupations",6589,937,1808,1091,4782,888,2013,,,,,
Postsecondary teachers,893,1172,469,1338,424,1100,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Postsecondary teachers
Preschool and kindergarten teachers,496,638,12,0,484,624,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Preschool and kindergarten teachers
Elementary and middle school teachers,2669,954,531,1025,2138,937,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Elementary and middle school teachers
Secondary school teachers,956,1031,427,1093,529,986,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Secondary school teachers
Special education teachers,337,951,65,977,271,944,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Special education teachers
Other teachers and instructors,336,905,149,1055,187,729,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Other teachers and instructors
"Archivists, curators, and museum technicians",33,0,13,0,20,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Archivists, curators, and museum technicians"
Librarians,149,919,28,0,121,905,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Librarians
Library technicians,18,0,4,0,14,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Library technicians
Teacher assistants,571,479,70,501,501,475,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Teacher assistants
"Other education, training, and library workers",131,1031,39,0,91,992,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Other education, training, and library workers"
"Arts, design, entertainment, sports, and media occupations",1510,988,861,1118,649,884,2013,,,,,
Artists and related workers,63,1032,38,0,25,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Artists and related workers
Designers,514,961,270,1095,244,866,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Designers
Actors,18,0,8,0,10,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Actors
Producers and directors,104,1166,66,1331,38,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Producers and directors
"Athletes, coaches, umpires, and related workers",115,889,86,934,29,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Athletes, coaches, umpires, and related workers"
Dancers and choreographers,1,0,0,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Dancers and choreographers
"Musicians, singers, and related workers",46,0,33,0,13,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Musicians, singers, and related workers"
"Entertainers and performers, sports and related workers, all other",9,0,2,0,7,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers, all other"
Announcers,18,0,13,0,6,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Announcers
"News analysts, reporters and correspondents",68,1041,46,0,22,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","News analysts, reporters and correspondents"
Public relations specialists,109,1129,41,0,68,921,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Public relations specialists
Editors,112,1092,53,1239,59,988,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Editors
Technical writers,57,1364,27,0,30,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Technical writers
Writers and authors,79,996,39,0,40,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Writers and authors
Miscellaneous media and communication workers,32,0,8,0,24,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Miscellaneous media and communication workers
Broadcast and sound engineering technicians and radio operators,68,947,61,1029,7,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Broadcast and sound engineering technicians and radio operators
Photographers,48,0,31,0,17,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Photographers
"Television, video, and motion picture camera operators and editors",45,0,38,0,6,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Television, video, and motion picture camera operators and editors"
"Media and communication equipment workers, all other",1,0,1,0,0,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Media and communication equipment workers, all other"
Healthcare practitioners and technical occupations,6142,1048,1558,1312,4585,994,2013,,,,,
Chiropractors,13,0,12,0,1,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Chiropractors
Dentists,55,1533,37,0,18,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dentists
Dietitians and nutritionists,82,885,10,0,71,864,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dietitians and nutritionists
Optometrists,14,0,11,0,2,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Optometrists
Pharmacists,215,1960,98,2092,117,1802,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Pharmacists
Physicians and surgeons,667,1885,426,2087,241,1497,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physicians and surgeons
Physician assistants,103,1456,36,0,67,1491,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physician assistants
Podiatrists,4,0,1,0,3,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Podiatrists
Audiologists,10,0,3,0,7,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Audiologists
Occupational therapists,78,1295,11,0,68,1240,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Occupational therapists
Physical therapists,161,1382,74,1457,87,1300,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Physical therapists
Radiation therapists,12,0,4,0,8,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Radiation therapists
Recreational therapists,10,0,2,0,8,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Recreational therapists
Respiratory therapists,96,1095,44,0,52,1059,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Respiratory therapists
Speech-language pathologists,98,1218,5,0,93,1191,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Speech-language pathologists
Exercise physiologists,4,0,1,0,3,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Exercise physiologists
"Therapists, all other",96,864,19,0,77,870,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Therapists, all other"
Veterinarians,41,0,18,0,23,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Veterinarians
Registered nurses,2278,1099,254,1236,2023,1086,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Registered nurses
Nurse anesthetists,22,0,7,0,14,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse anesthetists
Nurse midwives,3,0,0,0,3,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse midwives
Nurse practitioners,102,1615,11,0,91,1539,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Nurse practitioners
"Health diagnosing and treating practitioners, all other",7,0,1,0,6,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Health diagnosing and treating practitioners, all other"
Clinical laboratory technologists and technicians,307,891,81,980,226,858,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Clinical laboratory technologists and technicians
Dental hygienists,82,1005,2,0,80,1011,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Dental hygienists
Diagnostic related technologists and technicians,287,919,92,959,195,909,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Diagnostic related technologists and technicians
Emergency medical technicians and paramedics,140,796,82,832,58,785,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Emergency medical technicians and paramedics
Health practitioner support technologists and technicians,416,619,78,664,337,613,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Health practitioner support technologists and technicians
Licensed practical and licensed vocational nurses,444,741,40,0,404,732,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Licensed practical and licensed vocational nurses
Medical records and health information technicians,78,612,6,0,72,595,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Medical records and health information technicians
"Opticians, dispensing",37,0,13,0,25,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,"Opticians, dispensing"
Miscellaneous health technologists and technicians,114,849,41,0,73,782,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Miscellaneous health technologists and technicians
Other healthcare practitioners and technical occupations,69,1065,37,0,31,0,2013,Total,"Management, professional, and related occupations",Professional and related occupations,Healthcare practitioners and technical occupations,Other healthcare practitioners and technical occupations
Service occupations,15052,493,7597,555,7456,452,2013,,,,,
Healthcare support occupations,2324,491,304,546,2020,486,2013,,,,,
"Nursing, psychiatric, and home health aides",1393,457,186,499,1207,450,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,"Nursing, psychiatric, and home health aides"
Occupational therapy assistants and aides,11,0,0,0,11,0,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Occupational therapy assistants and aides
Physical therapist assistants and aides,39,0,13,0,26,0,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Physical therapist assistants and aides
Massage therapists,48,0,15,0,32,0,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Massage therapists
Dental assistants,181,571,7,0,174,571,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Dental assistants
Medical assistants,365,531,26,0,339,523,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Medical assistants
Medical transcriptionists,34,0,1,0,33,0,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Medical transcriptionists
Pharmacy aides,22,0,3,0,19,0,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Pharmacy aides
Veterinary assistants and laboratory animal caretakers,23,0,3,0,20,0,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Veterinary assistants and laboratory animal caretakers
Phlebotomists,97,583,19,0,77,573,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,Phlebotomists
"Miscellaneous healthcare support occupations, including medical equipment preparers",112,462,31,0,81,440,2013,Total,Service occupations,Healthcare support occupations,Healthcare support occupations,"Miscellaneous healthcare support occupations, including medical equipment preparers"
Protective service occupations,2685,783,2172,824,512,643,2013,,,,,
First-line supervisors of correctional officers,33,0,28,0,5,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,First-line supervisors of correctional officers
First-line supervisors of police and detectives,114,1139,97,1182,17,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,First-line supervisors of police and detectives
First-line supervisors of fire fighting and prevention workers,60,1082,60,1082,0,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,First-line supervisors of fire fighting and prevention workers
"First-line supervisors of protective service workers, all other",82,785,57,788,25,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,"First-line supervisors of protective service workers, all other"
Firefighters,294,996,285,1000,9,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Firefighters
Fire inspectors,18,0,17,0,1,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Fire inspectors
"Bailiffs, correctional officers, and jailers",418,683,298,729,120,599,2013,Total,Service occupations,Protective service occupations,Protective service occupations,"Bailiffs, correctional officers, and jailers"
Detectives and criminal investigators,159,1054,128,1120,30,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Detectives and criminal investigators
Fish and game wardens,2,0,1,0,1,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Fish and game wardens
Parking enforcement workers,5,0,4,0,2,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Parking enforcement workers
Police and sheriff's patrol officers,682,1007,593,1032,89,881,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Police and sheriff's patrol officers
Transit and railroad police,2,0,2,0,0,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Transit and railroad police
Animal control workers,10,0,6,0,4,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Animal control workers
Private detectives and investigators,72,948,40,0,32,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Private detectives and investigators
Security guards and gaming surveillance officers,643,532,517,549,125,500,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Security guards and gaming surveillance officers
Crossing guards,14,0,7,0,7,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Crossing guards
Transportation security screeners,25,0,16,0,10,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,Transportation security screeners
"Lifeguards and other recreational, and all other protective service workers",52,484,16,0,36,0,2013,Total,Service occupations,Protective service occupations,Protective service occupations,"Lifeguards and other recreational, and all other protective service workers"
Food preparation and serving related occupations,4140,416,2187,437,1953,400,2013,,,,,
Chefs and head cooks,351,574,282,589,69,510,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Chefs and head cooks
