occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
"Miscellaneous community and social service specialists, including health educators and community health workers",93,773,26,0,66,747,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Miscellaneous community and social service specialists, including health educators and community health workers"
Clergy,356,958,303,1007,53,763,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,Clergy
"Directors, religious activities and education",37,0,20,0,18,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Directors, religious activities and education"
"Religious workers, all other",40,0,17,0,23,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Community and social service occupations,"Religious workers, all other"
Legal occupations,1313,1271,591,1765,722,1001,2014,,,,,
Lawyers,737,1807,486,1915,251,1590,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Lawyers
Judicial law clerks,12,0,6,0,6,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Judicial law clerks
"Judges, magistrates, and other judicial workers",48,0,23,0,26,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,"Judges, magistrates, and other judicial workers"
Paralegals and legal assistants,359,831,37,0,321,840,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Paralegals and legal assistants
Miscellaneous legal support workers,158,870,39,0,118,817,2014,Total,"Management, professional, and related occupations",Professional and related occupations,Legal occupations,Miscellaneous legal support workers
"Education, training, and library occupations",6595,953,1763,1141,4832,897,2014,,,,,
Postsecondary teachers,860,1256,454,1409,405,1143,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Postsecondary teachers
Preschool and kindergarten teachers,499,634,13,0,486,625,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Preschool and kindergarten teachers
Elementary and middle school teachers,2730,980,534,1096,2196,956,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Elementary and middle school teachers
Secondary school teachers,981,1037,432,1108,549,984,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Secondary school teachers
Special education teachers,295,1001,57,1078,239,987,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Special education teachers
Other teachers and instructors,340,846,142,1096,198,772,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Other teachers and instructors
"Archivists, curators, and museum technicians",32,0,12,0,20,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Archivists, curators, and museum technicians"
Librarians,155,889,27,0,129,849,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Librarians
Library technicians,9,0,3,0,6,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Library technicians
Teacher assistants,545,498,52,580,492,494,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations",Teacher assistants
"Other education, training, and library workers",149,956,37,0,111,983,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Other education, training, and library workers"
"Arts, design, entertainment, sports, and media occupations",1573,956,906,1024,667,870,2014,,,,,
Artists and related workers,65,1166,43,0,22,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Artists and related workers
Designers,546,921,289,1020,257,812,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Designers
Actors,13,0,8,0,5,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Actors
Producers and directors,101,1192,66,1224,35,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Producers and directors
"Athletes, coaches, umpires, and related workers",113,871,83,974,29,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Athletes, coaches, umpires, and related workers"
Dancers and choreographers,8,0,0,0,8,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Dancers and choreographers
"Musicians, singers, and related workers",39,0,28,0,11,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Musicians, singers, and related workers"
"Entertainers and performers, sports and related workers, all other",10,0,4,0,6,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers, all other"
Announcers,28,0,23,0,5,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Announcers
"News analysts, reporters and correspondents",59,802,35,0,24,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","News analysts, reporters and correspondents"
Public relations specialists,111,982,42,0,69,933,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Public relations specialists
Editors,120,1018,73,1051,47,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Editors
Technical writers,51,1297,27,0,23,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Technical writers
Writers and authors,103,1016,42,0,60,863,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Writers and authors
Miscellaneous media and communication workers,39,0,13,0,25,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Miscellaneous media and communication workers
Broadcast and sound engineering technicians and radio operators,79,948,67,958,11,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Broadcast and sound engineering technicians and radio operators
Photographers,55,938,32,0,22,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations",Photographers
"Television, video, and motion picture camera operators and editors",34,0,28,0,6,0,2014,Total,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations","Television, video, and motion picture camera operators and editors"
